Using device: cuda
ref_path: gpt2-124m, RATIO: 0.2, PROB AUC: 0.6755727643221676, LOGPROB AUC: 0.6729032297543722, PROB ACC: 0.6153370439084724, LOGPROB ACC: 0.5411255411255411
ref_path: gpt2-124m, RATIO: 0.2, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.2, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.3, PROB AUC: 0.6686472726382651, LOGPROB AUC: 0.68255179967935, PROB ACC: 0.6116264687693259, LOGPROB ACC: 0.53865182436611
ref_path: gpt2-124m, RATIO: 0.3, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.3, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.4, PROB AUC: 0.652714205289503, LOGPROB AUC: 0.6854003230978227, PROB ACC: 0.6029684601113172, LOGPROB ACC: 0.5398886827458256
ref_path: gpt2-124m, RATIO: 0.4, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.4, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.5, PROB AUC: 0.634293651862096, LOGPROB AUC: 0.6843845231247475, PROB ACC: 0.5695732838589982, LOGPROB ACC: 0.53865182436611
ref_path: gpt2-124m, RATIO: 0.5, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.5, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.6, PROB AUC: 0.6180454417506028, LOGPROB AUC: 0.6817761813264145, PROB ACC: 0.5534941249226963, LOGPROB ACC: 0.5398886827458256
ref_path: gpt2-124m, RATIO: 0.6, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.6, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.7, PROB AUC: 0.6038640174277008, LOGPROB AUC: 0.6772708636747482, PROB ACC: 0.5349412492269635, LOGPROB ACC: 0.536178107606679
ref_path: gpt2-124m, RATIO: 0.7, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.7, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

